CODIGO,NIVEL_DE_DESAGREGACION,PONDERACION
073601,OTROS SERVICIOS DE TRANSPORTE ADQUIRIDO,0.011
080000,COMUNICACIONES,4.771
081000,SERVICIOS POSTALES,0.013
081100,SERVICIOS POSTALES,0.013
081101,ENVÍO DE CARTAS POSTALES Y PAQUETES,0.013
082000,EQUIPO TELEFÓNICO Y DE FACSÍMILE,0.465
082100,EQUIPO TELEFÓNICO Y DE FACSÍMILE,0.465
082101,EQUIPO TELEFÓNICOS RADIOTELÉFONOS MAQUINAS DE FACSÍMILE CONTESTADORES AUTOMÁTICOS Y ALTOPARLANTES PARA TELÉFONOS,0.465
083000,SERVICIOS TELEFÓNICOS Y DE FACSÍMILE,4.292
083100,SERVICIOS TELEFÓNICOS Y DE FACSÍMILE,4.292
083102,SERVICIO DE TELEFONÍA FIJA MÓVIL Y TELECOMUNICACIONES AGRUPADA,4.258
083103,SERVICIO DE TELEGRAFÍA TELEX Y FACSÍMILE,0.034
090000,RECREACIÓN Y CULTURA,3.958
091000,EQUIPO AUDIOVISUAL FOTOGRÁFICO Y DE PROCESAMIENTO DE INFORMACIÓN,0.723
091100,EQUIPO PARA LA RECEPCIÓN GRABACIÓN Y REPRODUCCIÓN DE SONIDOS E IMÁGENES,0.435
091101,EQUIPO PARA LA RECEPCIÓN GRABACIÓN Y REPRODUCCIÓN DE SONIDOS E IMÁGENES,0.053
091102,EQUIPO PARA LA RECEPCIÓN GRABACIÓN Y REPRODUCCIÓN DE IMÁGENES,0.382
091300,EQUIPO DE PROCESAMIENTO E INFORMACIÓN,0.288
091301,EQUIPO DE PROCESAMIENTO E INFORMACIÓN,0.288
093000,OTROS ARTÍCULOS Y EQUIPO PARA RECREACIÓN JARDINES Y ANIMALES DOMÉSTICOS,0.986
093100,JUEGOS JUGUETES Y AFICIONES,0.198
093101,JUEGOS Y JUGUETES Y AFICIONES,0.198
093200,EQUIPO DE DEPORTES CAMPAMENTOS Y RECREACIÓN AL AIRE LIBRE,0.039
093201,EQUIPO DE DEPORTES CAMPAMENTOS Y RECREACIÓN AL AIRE LIBRE,0.039
093300,JARDINES PLANTAS Y FLORES,0.068
093301,JARDINES PLANTAS Y FLORES,0.068
093400,ANIMALES DOMÉSTICOS Y PRODUCTOS CONEXOS,0.550
093401,ANIMALES DOMÉSTICOS Y PRODUCTOS CONEXOS,0.550
093500,SERVICIOS DE VETERINARIA Y DE OTRO TIPO PARA ANIMALES DOMÉSTICOS,0.130
093501,SERVICIOS DE VETERINARIA Y DE OTRO TIPO PARA ANIMALES DOMÉSTICOS,0.130
094000,SERVICIOS DE RECREACIÓN Y CULTURALES,1.592
094100,SERVICIOS DE RECREACIÓN Y DEPORTIVOS,0.461
094101,SERVICIOS DE RECREACIÓN Y DEPORTIVOS,0.461
094200,SERVICIOS CULTURALES,1.130
094201,SERVICIOS CULTURALES,1.130
095000,PERIÓDICOS LIBROS PAPELES Y ÚTILES DE OFICINA,0.504
095100,LIBROS,0.193
095101,LIBROS ENCICLOPEDIAS Y TEXTOS ESCOLARES,0.193
095200,DIARIOS Y PERIÓDICOS,0.114
095201,DIARIOS Y PERIÓDICOS,0.114
095400,PAPEL Y ÚTILES DE OFICINA Y MATERIALES DE DIBUJO,0.197
095401,PAPEL Y ÚTILES DE OFICINA Y MATERIALES DE DIBUJO,0.197
096000,PAQUETES TURÍSTICOS,0.155
096100,PAQUETES TURÍSTICOS,0.155
096101,PAQUETES TURÍSTICOS,0.155
100000,EDUCACIÓN,8.607
101000,ENSEÑANZA PREESCOLAR Y ENSEÑANZA PRIMARIA,2.243
101100,ENSEÑANZA PREESCOLAR Y ENSEÑANZA PRIMARIA,2.243
101101,EDUCACIÓN PREESCOLAR,0.691
101102,EDUCACIÓN PRIMARIA,1.553
102000,ENSEÑANZA SECUNDARIA,1.259
102100,ENSEÑANZA SECUNDARIA,1.259
102101,EDUCACIÓN SECUNDARIA,1.259
103000,ENSEÑANZA POSTSECUNDARIA NO TERCIARIA,0.508
103100,ENSEÑANZA POSTSECUNDARIA NO TERCIARIA,0.508
103101,EDUCACIÓN POSTSECUNDARIA NO TERCIARIA,0.508
104000,ENSEÑANZA TERCIARIA,4.259
104100,ENSEÑANZA TERCIARIA,4.259
104101,EDUCACIÓN SUPERIOR,4.259
105000,ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL,0.337
105100,ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL,0.337
